rank,rank_score,signature_id,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_debt_minted,total_debt_burned,residual_debt_shares,residual_debt_value,external_value_moved,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,extraction_candidate,insolvency_candidate,reason
11,18810001340499,2,100000000,19/20,1/100,1000,100,123,456,10000000000000,9500000000000,95000000000,9999999900000,9500000000000,94999900000,9405000100000,9405000200000,19499999900000,9404999900000,300000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
12,18810001340499,2,100000000,19/20,1/100,1000,100,8191,8191,10000000000000,9500000000000,95000000000,9999999900000,9500000000000,94999900000,9405000100000,9405000200000,19499999900000,9404999900000,300000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
13,18810001340499,3,100000000,99/100,1/20,1000,100,1,1,10000000000000,9900000000000,495000000000,9999999900000,9900000000000,494999900000,9405000100000,9405000200000,19899999900000,9404999900000,300000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
14,18810001340499,3,100000000,99/100,1/20,1000,100,3,7,10000000000000,9900000000000,495000000000,9999999900000,9900000000000,494999900000,9405000100000,9405000200000,19899999900000,9404999900000,300000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
15,18810001340499,3,100000000,99/100,1/20,1000,100,11,17,10000000000000,9900000000000,495000000000,9999999900000,9900000000000,494999900000,9405000100000,9405000200000,19899999900000,9404999900000,300000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
16,18810001340499,3,100000000,99/100,1/20,1000,100,31,67,10000000000000,9900000000000,495000000000,9999999900000,9900000000000,494999900000,9405000100000,9405000200000,19899999900000,9404999900000,300000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
17,18810001340499,3,100000000,99/100,1/20,1000,100,123,456,10000000000000,9900000000000,495000000000,9999999900000,9900000000000,494999900000,9405000100000,9405000200000,19899999900000,9404999900000,300000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
18,18810001340499,3,100000000,99/100,1/20,1000,100,8191,8191,10000000000000,9900000000000,495000000000,9999999900000,9900000000000,494999900000,9405000100000,9405000200000,19899999900000,9404999900000,300000,940499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
19,18050001302499,4,100000000,19/20,1/20,1000,100,1,1,10000000000000,9500000000000,475000000000,9999999900000,9500000000000,474999900000,9025000100000,9025000200000,19499999900000,9024999900000,300000,902499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
20,18050001302499,4,100000000,19/20,1/20,1000,100,3,7,10000000000000,9500000000000,475000000000,9999999900000,9500000000000,474999900000,9025000100000,9025000200000,19499999900000,9024999900000,300000,902499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
21,18050001302499,4,100000000,19/20,1/20,1000,100,11,17,10000000000000,9500000000000,475000000000,9999999900000,9500000000000,474999900000,9025000100000,9025000200000,19499999900000,9024999900000,300000,902499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
22,18050001302499,4,100000000,19/20,1/20,1000,100,31,67,10000000000000,9500000000000,475000000000,9999999900000,9500000000000,474999900000,9025000100000,9025000200000,19499999900000,9024999900000,300000,902499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
23,18050001302499,4,100000000,19/20,1/20,1000,100,123,456,10000000000000,9500000000000,475000000000,9999999900000,9500000000000,474999900000,9025000100000,9025000200000,19499999900000,9024999900000,300000,902499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
24,18050001302499,4,100000000,19/20,1/20,1000,100,8191,8191,10000000000000,9500000000000,475000000000,9999999900000,9500000000000,474999900000,9025000100000,9025000200000,19499999900000,9024999900000,300000,902499,True,True,NET_EXTERNAL_VALUE_POSITIVE;RESIDUAL_DEBT_VALUE_PERSISTS;PROTOCOL_SHORTFALL_MODEL_POSITIVE;EXTERNAL_VALUE_OVER_10_PERCENT;EXTERNAL_VALUE_OVER_50_PERCENT;EXTERNAL_VALUE_OVER_90_PERCENT
